deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
401298-33070,JFBI,JEFFERSON BANCSHARES INC,Nasdaq National Market,10,"5,750,000",2003-07-02T00:00:00+03:00,2003,7,"$57,500,000",,,,
92136-34123,FRCCO,FIRST REPUBLIC PREFERRED CAPITAL CORP,Nasdaq National Market,25,"2,400,000",2003-07-01T00:00:00+03:00,2003,7,"$60,000,000",,,,
392127-32936,AXS,AXIS CAPITAL HOLDINGS LTD,New York Stock Exchange,22,"21,500,000",2003-07-01T00:00:00+03:00,2003,7,"$473,000,000",,,,
406756-33754,AHT,ASHFORD HOSPITALITY TRUST INC,New York Stock Exchange,9,"22,500,000",2003-08-26T00:00:00+03:00,2003,8,"$202,500,000",,,,
407321-33790,MSTMU,"NationsHealth, Inc.",OTCBB,6,"3,500,000",2003-08-25T00:00:00+03:00,2003,8,"$21,000,000",,,,
107685-30743,SHLP,"ProText Mobility, Inc.",OTCBB,0.5,"2,474,000",2003-08-21T00:00:00+03:00,2003,8,"$1,237,000",,,,
412278-34188,PRSC,ModivCare Inc,Nasdaq National Market,12,"4,300,000",2003-08-19T00:00:00+03:00,2003,8,"$51,600,000",,,,
381230-32303,UHMG,"IN TOUCH MEDIA GROUP, INC.",OTCBB,5.1,"1,061,000",2003-08-14T00:00:00+03:00,2003,8,"$5,411,100",,,,
75728-30787,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,Nasdaq National Market,11,"6,000,000",2003-08-13T00:00:00+03:00,2003,8,"$66,000,000",,,,
410585-34076,GOOD,GLADSTONE COMMERCIAL CORP,Nasdaq National Market,15,"6,600,000",2003-08-13T00:00:00+03:00,2003,8,"$99,000,000",,,,
286431-33840,DRCT,DIRECT GENERAL CORP,Nasdaq National Market,21,"6,932,414",2003-08-12T00:00:00+03:00,2003,8,"$145,580,694",,,,
411092-34098,CSE,CAPITALSOURCE INC,New York Stock Exchange,14.5,"21,300,000",2003-08-07T00:00:00+03:00,2003,8,"$308,850,000",,,,
10717-34237,CUZ.A,COUSINS PROPERTIES INC,New York Stock Exchange,25,"4,000,000",2003-08-07T00:00:00+03:00,2003,8,"$100,000,000",,,,
111822-29966,CDL,CITADEL BROADCASTING CORP,New York Stock Exchange,19,"22,000,000",2003-08-01T00:00:00+03:00,2003,8,"$418,000,000",,,,
6405-33260,IPL.C,INTERSTATE POWER & LIGHT CO,New York Stock Exchange,25,"1,600,000",2003-09-25T00:00:00+03:00,2003,9,"$40,000,000",,,,
11744-35101,AGCC,ANCHOR GLASS CONTAINER CORP /NEW,Nasdaq National Market,16,"7,500,000",2003-09-25T00:00:00+03:00,2003,9,"$120,000,000",,,,
411238-34114,REDE,REDENVELOPE INC,Nasdaq National Market,14,"2,200,000",2003-09-25T00:00:00+03:00,2003,9,"$30,800,000",,,,
374721-34975,AMIS,AMIS HOLDINGS INC,Nasdaq National Market,20,"30,000,000",2003-09-24T00:00:00+03:00,2003,9,"$600,000,000",,,,
406480-33723,JRN,JOURNAL COMMUNICATIONS INC,New York Stock Exchange,15,"17,250,000",2003-09-24T00:00:00+03:00,2003,9,"$258,750,000",,,,
6330-34303,LTC.E,LTC PROPERTIES INC,New York Stock Exchange,25,"2,000,000",2003-09-19T00:00:00+03:00,2003,9,"$50,000,000",,,,
187620-34437,SGTL,"SigmaTel, LLC",Nasdaq National Market,15,"10,000,000",2003-09-19T00:00:00+03:00,2003,9,"$150,000,000",,,,
4189-34760,VLP.B,VINEYARD NATIONAL BANCORP,American Stock Exchange,25,"1,000,000",2003-09-18T00:00:00+03:00,2003,9,"$25,000,000",,,,
378047-33680,NFP,NATIONAL FINANCIAL PARTNERS CORP,New York Stock Exchange,23,"9,066,978",2003-09-18T00:00:00+03:00,2003,9,"$208,540,494",,,,
3756-35128,CNB.B,COLONIAL BANCGROUP INC,New York Stock Exchange,25,"4,000,000",2003-09-15T00:00:00+03:00,2003,9,"$100,000,000",,,,
593863-35301,FMD,FIRST MARBLEHEAD CORP,New York Stock Exchange,16,"12,500,000",2003-10-31T00:00:00+02:00,2003,10,"$200,000,000",,,,
51933-34815,OVNT,OVERNITE CORP,Nasdaq National Market,19,"25,000,000",2003-10-31T00:00:00+02:00,2003,10,"$475,000,000",,,,
118445-35167,MYOG,MYOGEN INC,Nasdaq National Market,14,"5,000,000",2003-10-30T00:00:00+02:00,2003,10,"$70,000,000",,,,
107644-34856,GTOP,GENITOPE CORP,Nasdaq National Market,9,"3,700,000",2003-10-30T00:00:00+02:00,2003,10,"$33,300,000",,,,
98490-34961,CNVX,"MICROMET, INC.",Nasdaq National Market,12,"6,000,000",2003-10-30T00:00:00+02:00,2003,10,"$72,000,000",,,,
424977-34930,CHLE,CENTENNIAL SPECIALTY FOODS CORP,Nasdaq SmallCap Market,5,"1,550,000",2003-10-29T00:00:00+02:00,2003,10,"$7,750,000",,,,
8307-35226,OFG.B,OFG BANCORP,New York Stock Exchange,25,"1,200,000",2003-10-27T00:00:00+02:00,2003,10,"$30,000,000",,,,
392072-32412,IVGA,ALLIANCE CREATIVE GROUP INC,OTCBB,0.6,"7,732,200",2003-10-27T00:00:00+02:00,2003,10,"$4,639,320",,,,
51228-30928,CRI,CARTERS INC,New York Stock Exchange,19,"6,250,000",2003-10-24T00:00:00+02:00,2003,10,"$118,750,000",,,,
418780-34604,FPO,FIRST POTOMAC REALTY TRUST,New York Stock Exchange,15,"7,500,000",2003-10-23T00:00:00+02:00,2003,10,"$112,500,000",,,,
412463-34217,RPFG,RAINIER PACIFIC FINANCIAL GROUP INC,Nasdaq National Market,10,"7,935,000",2003-10-21T00:00:00+02:00,2003,10,"$79,350,000",,,,
99064-34811,AVNC,"MiddleBrook Pharmaceuticals, Inc.",Nasdaq National Market,10,"6,000,000",2003-10-17T00:00:00+02:00,2003,10,"$60,000,000",,,,
146744-34886,DNET,DIGITALNET HOLDINGS INC,Nasdaq National Market,17,"5,000,000",2003-10-10T00:00:00+02:00,2003,10,"$85,000,000",,,,
90276-34387,ACUS,ACUSPHERE INC,Nasdaq National Market,14,"3,750,000",2003-10-08T00:00:00+02:00,2003,10,"$52,500,000",,,,
212268-34725,LKQX,LKQ CORP,Nasdaq National Market,13,"7,000,000",2003-10-03T00:00:00+03:00,2003,10,"$91,000,000",,,,
52469-35162,OPEN,OPEN SOLUTIONS INC,Nasdaq National Market,17,"5,000,000",2003-11-26T00:00:00+02:00,2003,11,"$85,000,000",,,,
99353-26759,PNCL,PINNACLE AIRLINES CORP,Nasdaq National Market,14,"19,400,000",2003-11-25T00:00:00+02:00,2003,11,"$271,600,000",,,,
377278-35085,SIR,SIRVA INC,New York Stock Exchange,18.5,"21,052,632",2003-11-25T00:00:00+02:00,2003,11,"$389,473,692",,,,
593939-35307,SNX,SYNNEX CORP,New York Stock Exchange,14.5,"5,400,000",2003-11-25T00:00:00+02:00,2003,11,"$78,300,000",,,,
596622-35577,CONN,CONNS INC,Nasdaq National Market,14,"4,150,000",2003-11-25T00:00:00+02:00,2003,11,"$58,100,000",,,,
87417-29332,NXST,"NEXSTAR MEDIA GROUP, INC.",Nasdaq National Market,14,"10,000,000",2003-11-24T00:00:00+02:00,2003,11,"$140,000,000",,,,
52300-35389,BWLD,BUFFALO WILD WINGS INC,Nasdaq National Market,17,"3,000,000",2003-11-21T00:00:00+02:00,2003,11,"$51,000,000",,,,
193586-35586,CALD,CALLIDUS SOFTWARE INC,Nasdaq National Market,14,"5,000,000",2003-11-20T00:00:00+02:00,2003,11,"$70,000,000",,,,
420440-34692,WLL,WHITING PETROLEUM CORP,New York Stock Exchange,15.5,"15,000,000",2003-11-20T00:00:00+02:00,2003,11,"$232,500,000",,,,
591649-35082,XPRT,LECG CORP,Nasdaq National Market,17,"7,500,000",2003-11-14T00:00:00+02:00,2003,11,"$127,500,000",,,,
593698-35294,TSRA,TESSERA TECHNOLOGIES INC,Nasdaq National Market,13,"7,500,000",2003-11-13T00:00:00+02:00,2003,11,"$97,500,000",,,,
593842-35300,MRLN,MARLIN BUSINESS SERVICES CORP,Nasdaq National Market,14,"4,400,000",2003-11-12T00:00:00+02:00,2003,11,"$61,600,000",,,,
109964-34852,AIX,Cinedigm Corp.,American Stock Exchange,5,"1,200,000",2003-11-10T00:00:00+02:00,2003,11,"$6,000,000",,,,
28364-35197,QLTY,QUALITY DISTRIBUTION INC,Nasdaq National Market,17,"7,000,000",2003-11-07T00:00:00+02:00,2003,11,"$119,000,000",,,,
384426-35047,PHRM,PHARMION CORP,Nasdaq National Market,14,"6,000,000",2003-11-06T00:00:00+02:00,2003,11,"$84,000,000",,,,
95331-35036,NTMD,NITROMED INC,Nasdaq National Market,11,"6,000,000",2003-11-06T00:00:00+02:00,2003,11,"$66,000,000",,,,
593982-35323,CFHI,COAST FINANCIAL HOLDINGS INC,Nasdaq SmallCap Market,12,"1,600,000",2003-11-06T00:00:00+02:00,2003,11,"$19,200,000",,,,
410192-34021,KNBT,KNBT BANCORP INC,Nasdaq National Market,10,"20,201,188",2003-11-03T00:00:00+02:00,2003,11,"$202,011,880",,,,
140945-35661,KNTA,KINTERA INC,Nasdaq National Market,7,"5,000,000",2003-12-19T00:00:00+02:00,2003,12,"$35,000,000",,,,
408526-34958,LUM,LUMINENT MORTGAGE CAPITAL INC,New York Stock Exchange,13,"11,400,000",2003-12-19T00:00:00+02:00,2003,12,"$148,200,000",,,,
385653-36026,TPX,"TEMPUR SEALY INTERNATIONAL, INC.",New York Stock Exchange,14,"18,750,000",2003-12-18T00:00:00+02:00,2003,12,"$262,500,000",,,,
68310-35775,KNOL,KNOLOGY INC,Nasdaq National Market,9,"6,000,000",2003-12-18T00:00:00+02:00,2003,12,"$54,000,000",,,,
597237-35636,MSHL,"MEI Pharma, Inc.",Nasdaq National Market,7.5,"2,080,000",2003-12-18T00:00:00+02:00,2003,12,"$15,600,000",,,,
386374-34974,FBTX,FRANKLIN BANK CORP,Nasdaq National Market,14.5,"9,248,275",2003-12-18T00:00:00+02:00,2003,12,"$134,099,988",,,,
594170-35334,FLCN,FALCON FINANCIAL INVESTMENT TRUST,Nasdaq National Market,9,"12,500,000",2003-12-17T00:00:00+02:00,2003,12,"$112,500,000",,,,
606590-36543,LFC,CHINA LIFE INSURANCE CO LTD,New York Stock Exchange,18.68,"153,676,475",2003-12-17T00:00:00+02:00,2003,12,"$2,870,676,553",,,,
598804-35810,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,New York Stock Exchange,20.5,"7,500,000",2003-12-17T00:00:00+02:00,2003,12,"$153,750,000",,,,
110582-29694,ORBZ,ORBITZ INC,Nasdaq National Market,26,"12,180,000",2003-12-17T00:00:00+02:00,2003,12,"$316,680,000",,,,
596455-35559,PRVD,PROVIDE COMMERCE INC,Nasdaq National Market,15,"4,334,000",2003-12-17T00:00:00+02:00,2003,12,"$65,010,000",,,,
45520-33588,MIGP,MERCER INSURANCE GROUP INC,Nasdaq National Market,10,"6,845,733",2003-12-16T00:00:00+02:00,2003,12,"$68,457,330",,,,
595761-35469,UNGL,Global Indemnity plc,Nasdaq National Market,17,"9,750,000",2003-12-16T00:00:00+02:00,2003,12,"$165,750,000",,,,
604272-36353,WZEN,WEBZEN INC,Nasdaq National Market,11.17,"8,700,000",2003-12-16T00:00:00+02:00,2003,12,"$97,179,000",,,,
594750-35380,HIH,HIGHLAND HOSPITALITY CORP,New York Stock Exchange,10,"30,000,000",2003-12-16T00:00:00+02:00,2003,12,"$300,000,000",,,,
421928-34780,ISG,Mittal Steel USA Inc.,New York Stock Exchange,28,"16,500,000",2003-12-12T00:00:00+02:00,2003,12,"$462,000,000",,,,
62246-35592,CENF,CENTRAL FREIGHT LINES INC,Nasdaq National Market,15,"8,500,000",2003-12-12T00:00:00+02:00,2003,12,"$127,500,000",,,,
403679-36313,CMP,COMPASS MINERALS INTERNATIONAL INC,New York Stock Exchange,13,"14,500,000",2003-12-12T00:00:00+02:00,2003,12,"$188,500,000",,,,
215080-34900,NAX,NATURAL GOLF CORP,American Stock Exchange,5,"2,500,000",2003-12-12T00:00:00+02:00,2003,12,"$12,500,000",,,,
590451-35014,NNI,NELNET INC,New York Stock Exchange,21,"8,000,000",2003-12-11T00:00:00+02:00,2003,12,"$168,000,000",,,,
594703-35375,NPTT,NPTEST HOLDING CORP,Nasdaq National Market,12,"14,600,000",2003-12-11T00:00:00+02:00,2003,12,"$175,200,000",,,,
406348-34430,VAPH,VASO ACTIVE PHARMACEUTICALS INC,Nasdaq SmallCap Market,5,"1,300,000",2003-12-10T00:00:00+02:00,2003,12,"$6,500,000",,,,
605267-36441,CTRP,Trip.com Group Ltd,Nasdaq National Market,18,"4,200,000",2003-12-09T00:00:00+02:00,2003,12,"$75,600,000",,,,
63880-32696,CVP,VOLUME SERVICES INC/KS,American Stock Exchange,15,"16,785,450",2003-12-05T00:00:00+02:00,2003,12,"$251,781,750",,,,
62204-35441,AEL,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,New York Stock Exchange,9,"18,700,000",2003-12-04T00:00:00+02:00,2003,12,"$168,300,000",,,,
605038-36428,AHL,ASPEN INSURANCE HOLDINGS LTD,New York Stock Exchange,22.5,"10,524,000",2003-12-04T00:00:00+02:00,2003,12,"$236,790,000",,,,
152867-35432,EYET,EYETECH PHARMACEUTICALS INC,Nasdaq National Market,21,"6,500,000",2004-01-30T00:00:00+02:00,2004,1,"$136,500,000",,,,
614806-37239,LPMA,LIPMAN ELECTRONIC ENGINEERING LTD,Nasdaq National Market,41.6,"3,000,000",2004-01-29T00:00:00+02:00,2004,1,"$124,800,000",,,,
384985-37087,MPG.A,"MPG Office Trust, Inc.",New York Stock Exchange,25,"9,000,000",2004-01-27T00:00:00+02:00,2004,1,"$225,000,000",,,,
599507-35889,GPP,GOVERNMENT PROPERTIES TRUST INC,New York Stock Exchange,10,"16,800,000",2004-01-27T00:00:00+02:00,2004,1,"$168,000,000",,,,
604072-36334,PRPX,PORTEC RAIL PRODUCTS INC,Nasdaq National Market,10,"2,000,000",2004-01-23T00:00:00+02:00,2004,1,"$20,000,000",,,,
397358-36210,XTXI,"ENLINK MIDSTREAM, INC.",Nasdaq National Market,19.5,"2,306,000",2004-01-13T00:00:00+02:00,2004,1,"$44,967,000",,,,
418098-34567,KSP,K-SEA TRANSPORTATION PARTNERS LP,New York Stock Exchange,23.5,"3,625,000",2004-01-09T00:00:00+02:00,2004,1,"$85,187,500",,,,
413784-34364,CHEV,CHEVIOT FINANCIAL CORP,Nasdaq SmallCap Market,10,"4,388,438",2004-01-06T00:00:00+02:00,2004,1,"$43,884,380",,,,
619284-37608,BANFP,BFC CAPITAL TRUST II,Nasdaq National Market,25,"1,000,000",2004-02-25T00:00:00+02:00,2004,2,"$25,000,000",,,,
18203-37149,KCI,KINETIC CONCEPTS INC,New York Stock Exchange,30,"18,000,000",2004-02-24T00:00:00+02:00,2004,2,"$540,000,000",,,,
410738-35542,SOLM,SOLOMON TECHNOLOGIES INC,OTCBB,3.51,"750,082",2004-02-24T00:00:00+02:00,2004,2,"$2,632,788",,,,
65334-36608,CHRK,CHEROKEE INTERNATIONAL CORP,Nasdaq National Market,14.5,"6,600,000",2004-02-20T00:00:00+02:00,2004,2,"$95,700,000",,,,
81408-36113,DVAX,DYNAVAX TECHNOLOGIES CORP,Nasdaq National Market,7.5,"6,000,000",2004-02-19T00:00:00+02:00,2004,2,"$45,000,000",,,,
604598-36386,CEACU,ETRIALS WORLDWIDE INC.,OTCBB,6,"3,500,000",2004-02-13T00:00:00+02:00,2004,2,"$21,000,000",,,,
6534-36291,WEH.A,Red Lion Hotels CORP,New York Stock Exchange,25,"1,600,000",2004-02-13T00:00:00+02:00,2004,2,"$40,000,000",,,,
100110-36747,CGTK,"ANESIVA, INC.",Nasdaq National Market,16,"6,000,000",2004-02-12T00:00:00+02:00,2004,2,"$96,000,000",,,,
4811-23794,OHI.D,OMEGA HEALTHCARE INVESTORS INC,New York Stock Exchange,25,"4,739,500",2004-02-12T00:00:00+02:00,2004,2,"$118,487,500",,,,
610692-36897,BRW,BRISTOL WEST HOLDINGS INC,New York Stock Exchange,20,"15,000,000",2004-02-12T00:00:00+02:00,2004,2,"$300,000,000",,,,
600798-36810,ARC,Hilltop Holdings Inc.,New York Stock Exchange,19,"24,508,617",2004-02-12T00:00:00+02:00,2004,2,"$465,663,723",,,,
145226-36660,ATHR,ATHEROS COMMUNICATIONS INC,Nasdaq National Market,14,"9,000,000",2004-02-12T00:00:00+02:00,2004,2,"$126,000,000",,,,
597832-35717,ALSM,ALPHASMART INC,Nasdaq National Market,6,"4,400,000",2004-02-06T00:00:00+02:00,2004,2,"$26,400,000",,,,
593356-36366,DSTI,DAYSTAR TECHNOLOGIES INC,Nasdaq SmallCap Market,5,"2,100,000",2004-02-06T00:00:00+02:00,2004,2,"$10,500,000",,,,
111561-36491,SMBI,SYMBION INC/TN,Nasdaq National Market,15,"7,200,000",2004-02-06T00:00:00+02:00,2004,2,"$108,000,000",,,,
342840-36659,STAK,ENTORIAN TECHNOLOGIES INC,Nasdaq National Market,13,"10,000,000",2004-02-06T00:00:00+02:00,2004,2,"$130,000,000",,,,
388539-32148,THE,TODCO,New York Stock Exchange,12,"12,000,000",2004-02-05T00:00:00+02:00,2004,2,"$144,000,000",,,,
97391-36032,RNVS,RENOVIS INC,Nasdaq National Market,12,"5,500,000",2004-02-05T00:00:00+02:00,2004,2,"$66,000,000",,,,
107381-29162,BKRS,BAKERS FOOTWEAR GROUP INC,Nasdaq National Market,7.75,"2,160,000",2004-02-05T00:00:00+02:00,2004,2,"$16,740,000",,,,
601812-36125,AACC,ASSET ACCEPTANCE CAPITAL CORP,Nasdaq National Market,15,"7,000,000",2004-02-05T00:00:00+02:00,2004,2,"$105,000,000",,,,
601811-36124,AIZ,"ASSURANT, INC.",New York Stock Exchange,22,"80,000,000",2004-02-05T00:00:00+02:00,2004,2,"$1,760,000,000",,,,
591491-35975,GTXI,"Oncternal Therapeutics, Inc.",Nasdaq National Market,14.5,"5,400,000",2004-02-03T00:00:00+02:00,2004,2,"$78,300,000",,,,
605720-36466,TRW,ZF TRW AUTOMOTIVE HOLDINGS CORP,New York Stock Exchange,28,"24,137,931",2004-02-03T00:00:00+02:00,2004,2,"$675,862,068",,,,
94568-37298,CUTR,CUTERA INC,Nasdaq National Market,14,"3,532,000",2004-03-31T00:00:00+02:00,2004,3,"$49,448,000",,,,
609223-36802,KFED,K-FED BANCORP,Nasdaq National Market,10,"5,686,750",2004-03-31T00:00:00+02:00,2004,3,"$56,867,500",,,,
401333-36837,MCHX,MARCHEX INC,Nasdaq National Market,6.5,"4,000,000",2004-03-31T00:00:00+02:00,2004,3,"$26,000,000",,,,
374292-36476,ANDS,ANADYS PHARMACEUTICALS INC,Nasdaq National Market,7,"6,250,000",2004-03-26T00:00:00+02:00,2004,3,"$43,750,000",,,,
91007-35522,HOS,HORNBECK OFFSHORE SERVICES INC /LA,New York Stock Exchange,13,"6,000,000",2004-03-26T00:00:00+02:00,2004,3,"$78,000,000",,,,
615187-37282,UCTT,"Ultra Clean Holdings, Inc.",Nasdaq National Market,7,"6,000,000",2004-03-25T00:00:00+02:00,2004,3,"$42,000,000",,,,
50184-36558,LSE,"CapLease, Inc.",New York Stock Exchange,10.5,"20,000,000",2004-03-19T00:00:00+02:00,2004,3,"$210,000,000",,,,
608484-36735,GWAQU,CHINACAST EDUCATION CORP,OTCBB,6,"4,000,000",2004-03-18T00:00:00+02:00,2004,3,"$24,000,000",,,,
615751-37313,CAQCU,CHARDAN CHINA ACQUISITION CORP,OTCBB,6,"3,500,000",2004-03-17T00:00:00+02:00,2004,3,"$21,000,000",,,,
609063-36793,SFO,COHEN & Co INC.,New York Stock Exchange,13,"10,000,000",2004-03-17T00:00:00+02:00,2004,3,"$130,000,000",,,,
595074-35410,TRCA,TERCICA INC,Nasdaq National Market,9,"5,500,000",2004-03-17T00:00:00+02:00,2004,3,"$49,500,000",,,,
603182-36273,TNS,TNS INC,New York Stock Exchange,18,"4,420,000",2004-03-16T00:00:00+02:00,2004,3,"$79,560,000",,,,
81814-35946,XCYT,"Cyclacel Pharmaceuticals, Inc.",Nasdaq National Market,8,"4,200,000",2004-03-16T00:00:00+02:00,2004,3,"$33,600,000",,,,
600796-37732,SMI,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORP,New York Stock Exchange,17.5,"97,878,780",2004-03-12T00:00:00+02:00,2004,3,"$1,712,878,650",,,,
621736-37785,TOMO,TOM ONLINE INC,Nasdaq National Market,15.552,"11,250,000",2004-03-10T00:00:00+02:00,2004,3,"$174,937,500",,,,
622809-37840,LTON,MNC MEDIA INVESTMENT LTD,Nasdaq National Market,14,"6,140,000",2004-03-04T00:00:00+02:00,2004,3,"$85,960,000",,,,
411229-34112,CSBK,CLIFTON SAVINGS BANCORP INC,Nasdaq National Market,10,"13,738,712",2004-03-04T00:00:00+02:00,2004,3,"$137,387,120",,,,
610352-36874,INTX,INTERSECTIONS INC,Nasdaq National Market,17,"6,250,000",2004-04-30T00:00:00+03:00,2004,4,"$106,250,000",,,,
110556-37633,BTRX,BARRIER THERAPEUTICS INC,Nasdaq National Market,15,"5,000,000",2004-04-29T00:00:00+03:00,2004,4,"$75,000,000",,,,
151383-37465,CYTK,CYTOKINETICS INC,Nasdaq National Market,13,"6,900,000",2004-04-29T00:00:00+03:00,2004,4,"$89,700,000",,,,
611919-37029,AGO,ASSURED GUARANTY LTD,New York Stock Exchange,18,"49,000,000",2004-04-23T00:00:00+03:00,2004,4,"$882,000,000",,,,
105459-37687,SIRF,SIRF TECHNOLOGY HOLDINGS INC,Nasdaq National Market,12,"11,000,000",2004-04-22T00:00:00+03:00,2004,4,"$132,000,000",,,,
619376-37612,GMTN,GANDER MOUNTAIN CO,Nasdaq National Market,16,"5,725,000",2004-04-21T00:00:00+03:00,2004,4,"$91,600,000",,,,
610917-36920,PROS,PROCENTURY CORP,Nasdaq National Market,10.5,"8,900,000",2004-04-21T00:00:00+03:00,2004,4,"$93,450,000",,,,
124372-36782,IMMC,IMMUNICON CORP,Nasdaq National Market,8,"6,000,000",2004-04-16T00:00:00+03:00,2004,4,"$48,000,000",,,,
94341-37700,CORT,CORCEPT THERAPEUTICS INC,Nasdaq National Market,12,"4,500,000",2004-04-14T00:00:00+03:00,2004,4,"$54,000,000",,,,
417497-36446,ABR,ARBOR REALTY TRUST INC,New York Stock Exchange,20,"6,272,500",2004-04-07T00:00:00+02:00,2004,4,"$125,450,000",,,,
611591-36984,JDO,STEEN RIVER OIL & GAS INC.,American Stock Exchange,5.5,"1,675,000",2004-04-06T00:00:00+02:00,2004,4,"$9,212,500",,,,
107403-37011,MEMY,MEMORY PHARMACEUTICALS CORP,Nasdaq National Market,7,"5,000,000",2004-04-05T00:00:00+02:00,2004,4,"$35,000,000",,,,
597810-35715,NABC,NEWALLIANCE BANCSHARES INC,Nasdaq National Market,10,"102,493,750",2004-04-02T00:00:00+02:00,2004,4,"$1,024,937,500",,,,
407547-37040,SNTS,SANTARUS INC,Nasdaq National Market,9,"6,000,000",2004-04-01T00:00:00+02:00,2004,4,"$54,000,000",,,,
375375-38031,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",Nasdaq National Market,6,"5,000,000",2004-05-28T00:00:00+03:00,2004,5,"$30,000,000",,,,
625899-38139,ANGO,ANGIODYNAMICS INC,Nasdaq National Market,11,"1,950,000",2004-05-27T00:00:00+03:00,2004,5,"$21,450,000",,,,
155524-38406,CRTX,CORNERSTONE THERAPEUTICS INC,Nasdaq National Market,7,"6,000,000",2004-05-27T00:00:00+03:00,2004,5,"$42,000,000",,,,
100424-26956,RJET,REPUBLIC AIRWAYS HOLDINGS INC,Nasdaq National Market,13,"5,000,000",2004-05-27T00:00:00+03:00,2004,5,"$65,000,000",,,,
50946-37693,STAN,SP Plus Corp,Nasdaq National Market,11.5,"4,500,000",2004-05-27T00:00:00+03:00,2004,5,"$51,750,000",,,,
81806-38010,ACAD,ACADIA PHARMACEUTICALS INC,Nasdaq National Market,7,"5,000,000",2004-05-27T00:00:00+03:00,2004,5,"$35,000,000",,,,
615960-37338,GNW,GENWORTH FINANCIAL INC,New York Stock Exchange,19.5,"145,000,000",2004-05-25T00:00:00+03:00,2004,5,"$2,827,500,000",,,,
592545-35166,OBNH,OBN HOLDINGS INC,OTCBB,3,"9,385,360",2004-05-21T00:00:00+03:00,2004,5,"$28,156,080",,,,
143670-37886,PUMP,ANIMAS CORP,Nasdaq National Market,15,"4,250,000",2004-05-20T00:00:00+03:00,2004,5,"$63,750,000",,,,
154202-38222,NILE,BLUE NILE INC,Nasdaq National Market,20.5,"3,740,000",2004-05-20T00:00:00+03:00,2004,5,"$76,670,000",,,,
596532-37057,QNTA,QUANTA CAPITAL HOLDINGS LTD,Nasdaq National Market,10,"56,506,956",2004-05-14T00:00:00+03:00,2004,5,"$565,069,560",,,,
626974-38318,TEGYU,BATTALION OIL CORP,OTCBB,6,"5,500,000",2004-05-13T00:00:00+03:00,2004,5,"$33,000,000",,,,
630003-38744,SNDA,SHANDA INTERACTIVE ENTERTAINMENT LTD,Nasdaq National Market,11,"13,854,487",2004-05-13T00:00:00+03:00,2004,5,"$152,399,357",,,,
150658-38147,NUVA,NUVASIVE INC,Nasdaq National Market,11,"6,500,000",2004-05-13T00:00:00+03:00,2004,5,"$71,500,000",,,,
620413-37694,ATLS,ARKHAN Corp,Nasdaq National Market,15.5,"2,300,000",2004-05-11T00:00:00+03:00,2004,5,"$35,650,000",,,,
618376-37542,IFS,INFRASOURCE SERVICES INC,New York Stock Exchange,13,"8,600,000",2004-05-07T00:00:00+03:00,2004,5,"$111,800,000",,,,
626698-38260,GHL,GREENHILL & CO INC,New York Stock Exchange,17.5,"5,000,000",2004-05-06T00:00:00+03:00,2004,5,"$87,500,000",,,,
601552-37623,ORGN,ORIGEN FINANCIAL INC,Nasdaq National Market,8,"8,000,000",2004-05-06T00:00:00+03:00,2004,5,"$64,000,000",,,,
194107-38513,DWRI,DESIGN WITHIN REACH INC,Nasdaq National Market,12,"4,100,000",2004-06-30T00:00:00+03:00,2004,6,"$49,200,000",,,,
193453-39901,GPCB,GPC BIOTECH AG,Nasdaq National Market,14.55,"7,460,000",2004-06-30T00:00:00+03:00,2004,6,"$108,543,000",,,,
95056-38428,LTM,"LIFE TIME FITNESS, INC.",New York Stock Exchange,18.5,"9,900,000",2004-06-30T00:00:00+03:00,2004,6,"$183,150,000",,,,
627145-38336,FFFS,First Clover Leaf Financial Corp.,Nasdaq Smallcap Market,10,"2,535,233",2004-06-29T00:00:00+03:00,2004,6,"$25,352,330",,,,
638626-39885,HXM,Homex Development Corp.,New York Stock Exchange,15.8,"10,100,000",2004-06-29T00:00:00+03:00,2004,6,"$159,580,000",,,,
632454-39120,APGOU,"Hill International, Inc.",OTCBB,6,"6,000,000",2004-06-25T00:00:00+03:00,2004,6,"$36,000,000",,,,
600278-38467,CAB,CABELAS INC,New York Stock Exchange,20,"7,812,500",2004-06-25T00:00:00+03:00,2004,6,"$156,250,000",,,,
475813-38960,MFLX,MULTI FINELINE ELECTRONIX INC,Nasdaq National Market,10,"5,566,508",2004-06-25T00:00:00+03:00,2004,6,"$55,665,080",,,,
77525-36803,MOTV,MOTIVE INC,Nasdaq National Market,10,"5,000,000",2004-06-25T00:00:00+03:00,2004,6,"$50,000,000",,,,
612878-37145,NTR,NEW YORK MORTGAGE TRUST INC,New York Stock Exchange,9,"15,000,000",2004-06-24T00:00:00+03:00,2004,6,"$135,000,000",,,,
242156-37806,SLH,"STRATEGIC HOTELS & RESORTS, INC",New York Stock Exchange,14,"17,600,000",2004-06-24T00:00:00+03:00,2004,6,"$246,400,000",,,,
